variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
tnt,Tendency of Air Temperature,subhrPt,Esubhr,19629.27,1324
va,Northward Wind,subhrPt,Esubhr,19623.03,1339
hursmin,Daily Minimum Near-Surface Relative Humidity,day,day,19132.00,78444
rlus,Surface Upwelling Longwave Radiation,3hr,3hr,18774.25,12514
mmrso4,Aerosol Sulfate Mass Mixing Ratio,mon,AERmon,18678.40,19325
chldiat,Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,mon,Omon,18568.78,4110
phymisc,Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,mon,Omon,18544.74,7075
calc,Calcite Concentration,mon,Omon,18536.85,5721
rsus,Surface Upwelling Shortwave Radiation,day,day,18527.84,64129
ua,Eastward Wind,subhrPt,Esubhr,18511.46,1311
zos,Sea Surface Height Above Geoid,mon,Omon,18494.12,712387
co3satcalc,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,mon,Omon,17520.29,6079
mmrbc,Elemental Carbon Mass Mixing Ratio,mon,AERmon,17480.08,18998
o3,Mole Fraction of O3,mon,Amon,17184.59,29516
zg500,Geopotential Height at 500hPa,day,AERday,17089.06,91833
bsi,Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,mon,Omon,16678.70,4448
tdps,2m Dewpoint Temperature,day,Eday,16628.80,24744
bfe,Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mon,Omon,16482.85,4823
ua,Eastward Wind,6hr,6hrPlevPt,16261.36,29208
va,Northward Wind,6hr,6hrPlevPt,16223.54,28012
ua,Eastward Wind,3hr,E3hrPt,16215.77,7004
clt,Total Cloud Cover Percentage,3hr,3hr,16144.74,15558
zmeso,Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,mon,Omon,16092.45,2993
psl,Sea Level Pressure,mon,Amon,15953.59,2366654
expfe,Sinking Particulate Iron Flux,mon,Emon,15752.62,5194
tnt,Tendency of Air Temperature,mon,CFmon,15596.01,5887
graz,Total Grazing of Phytoplankton by Zooplankton,mon,Omon,15594.28,5218
ps,Surface Air Pressure,day,CFday,15449.04,47422
ta,Air Temperature,3hrPt,CF3hr,15074.25,2598
volcello,Ocean Grid-Cell Volume,mon,Omon,14888.55,9567
zmicro,Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water,mon,Omon,14786.39,2826
sfo3,O3 Volume Mixing Ratio in Lowest Model Layer,1hr,AERhr,14752.36,6845
sos,Sea Surface Salinity,day,Oday,14744.38,9878
hus,Specific Humidity,6hr,6hrPlev,14563.42,4347
ps,Surface Air Pressure,6hrPt,6hrLev,14391.10,23386
hus,Specific Humidity,3hrPt,E3hrPt,14321.88,2460
phyfe,Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,mon,Omon,13954.52,4704
tnta,Tendency of Air Temperature Due to Advection,mon,CFmon,13753.71,5330
wap,Omega (=dp/dt),6hr,6hrPlev,13670.31,3962
rsus,Surface Upwelling Shortwave Radiation,3hr,3hr,13555.01,12960
pfull,Pressure at Model Full-Levels,6hr,6hrLev,13500.07,644
chlmisc,Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,13399.01,2277
mc,Convective Mass Flux,day,CFday,13291.73,4173
tossq,Square of Sea Surface Temperature,day,Oday,13215.75,25324
tntr,Tendency of Air Temperature Due to Radiative Heating,mon,CFmon,13141.79,6004
physi,Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,mon,Omon,13058.60,2560
prc,Convective Precipitation,1hr,E1hr,12886.80,6566
so2,SO2 Volume Mixing Ratio,mon,AERmon,12863.53,10411
tntmp,Tendency of Air Temperature Due to Model Physics,mon,CFmon,12682.80,5647
mrsll,Liquid Water Content of Soil Layer,day,Eday,12629.10,9460
hursmax,Daily Maximum Near-Surface Relative Humidity,day,day,12059.13,52172
ts,Surface Temperature,mon,Amon,12016.05,1233659
mmroa,Total Organic Aerosol Mass Mixing Ratio,mon,AERmon,11939.81,15125
tnhusa,Tendency of Specific Humidity Due to Advection,mon,CFmon,11891.91,4552
sos,Sea Surface Salinity,mon,Omon,11656.12,477931
rsu,Upwelling Shortwave Radiation,mon,CFmon,11513.54,8830
mc,Convective Mass Flux,mon,Amon,11490.11,10561
rivo,River Discharge,day,Eday,11476.42,3758
mrso,Total Soil Moisture Content,day,day,11360.05,103202
va,Northward Wind,3hr,E3hrPt,11334.27,4780
uas,Eastward Near-Surface Wind,6hrPt,6hrPlevPt,11224.48,27266
rsds,Surface Downwelling Shortwave Radiation,mon,Amon,11152.12,1085384
expsi,Sinking Particulate Silicon Flux,mon,Emon,11114.48,2477
tsl,Temperature of Soil,day,Eday,10869.25,6039
rlu,Upwelling Longwave Radiation,mon,CFmon,10807.14,8008
co3satarag,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,mon,Omon,10793.29,2411
hfds,Downward Heat Flux at Sea Water Surface,mon,Omon,10651.18,324826
ps,Surface Air Pressure,1hr,AERhr,10570.31,3166
vas,Northward Near-Surface Wind,6hrPt,6hrPlevPt,10415.09,21075
mlotst,Ocean Mixed Layer Thickness Defined by Sigma T,mon,Omon,10410.38,410374
omldamax,Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,day,Oday,10346.65,23256
prc,Convective Precipitation,3hr,3hr,10224.66,14111
tntrl,Tendency of Air Temperature Due to Longwave Radiative Heating,mon,AERmon,10216.73,4667
rlucs,Upwelling Clear-Sky Longwave Radiation,mon,CFmon,10211.22,7654
rld,Downwelling Longwave Radiation,mon,CFmon,10151.81,8539
rsucs,Upwelling Clear-Sky Shortwave Radiation,mon,CFmon,10143.02,7615
mrsos,Moisture in Upper Portion of Soil Column,day,day,10058.35,91063
tnhusmp,Tendency of Specific Humidity Due to Model Physics,mon,CFmon,10044.79,4980
hfls,Surface Upward Latent Heat Flux,mon,Amon,9985.28,890338
mrro,Total Runoff,day,day,9654.54,87498
evspsbl,Evaporation Including Sublimation and Transpiration,mon,Amon,9627.48,868849
siconc,Sea-Ice Area Percentage (Ocean Grid),mon,SImon,9573.33,1223625
tnhus,Tendency of Specific Humidity,mon,CFmon,9506.91,4119
ua,Eastward Wind,3hrPt,E3hrPt,9487.51,1077
prsn,Snowfall Flux,3hr,3hr,9484.31,18599
hfss,Surface Upward Sensible Heat Flux,mon,Amon,9480.52,849574
va,Northward Wind,3hrPt,E3hrPt,9459.93,1045
rsd,Downwelling Shortwave Radiation,mon,CFmon,9446.06,9874
rldscs,Surface Downwelling Clear-Sky Longwave Radiation,3hr,3hr,9394.53,5176
pr,Precipitation,6hr,6hrPlev,9334.64,11204
rldcs,Downwelling Clear-Sky Longwave Radiation,mon,CFmon,9180.57,7474
opottemptend,Tendency of Sea Water Potential Temperature Expressed as Heat Content,mon,Emon,8947.65,1242
uas,Eastward Near-Surface Wind,3hr,3hr,8831.21,6191
psl,Sea Level Pressure,3hr,E3hr,8809.34,6396
ta,Air Temperature,3hrPt,E3hrPt,8619.37,999
tas,Near-Surface Air Temperature,6hr,6hrPlev,8433.07,13478
rlut,TOA Outgoing Longwave Radiation,mon,Amon,8400.43,795650
rsus,Surface Upwelling Shortwave Radiation,mon,Amon,8252.17,765721
rsut,TOA Outgoing Shortwave Radiation,mon,Amon,8246.06,730024
ppmisc,Net Primary Organic Carbon Production by Other Phytoplankton,mon,Emon,8111.82,3421
zhalf,Altitude of Model Half-Levels,3hrPt,CF3hr,8109.74,1602
rlds,Surface Downwelling Longwave Radiation,mon,Amon,8096.98,807872
zfull,Altitude of Model Full-Levels,3hrPt,CF3hr,8084.01,1619
wa,Upward Air Velocity,mon,AERmon,8068.28,6735
oh,OH Volume Mixing Ratio,mon,AERmon,8027.46,9423
rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,3hr,3hr,7939.16,7141
phydiaz,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,mon,Omon,7921.41,5787
tsl,Temperature of Soil,mon,Lmon,7909.95,152520
tntscpbl,Tendency of Air Temperature Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,mon,CFmon,7814.47,4584
rsut,TOA Outgoing Shortwave Radiation,day,CFday,7796.52,16079
dissicnat,Natural Dissolved Inorganic Carbon Concentration,mon,Omon,7735.59,2382
prw,Water Vapor Path,3hr,E3hr,7669.55,9211
hus,Specific Humidity,subhrPt,CFsubhr,7661.52,1954
tas,Near-Surface Air Temperature,3hr,3hr,7636.02,7476
tasmax,Daily Maximum Near-Surface Air Temperature,mon,Amon,7518.24,1082821
rsdcs,Downwelling Clear-Sky Shortwave Radiation,mon,CFmon,7511.16,5870
ta,Air Temperature,6hr,6hrPlevPt,7379.46,26807
mrsfl,Frozen Water Content of Soil Layer,day,Eday,7291.46,6271
ppdiat,Net Primary Organic Carbon Production by Diatoms,mon,Emon,7177.25,1905
clisccp,ISCCP Cloud Area Percentage,mon,CFmon,7174.02,3851
tasmin,Daily Minimum Near-Surface Air Temperature,mon,Amon,7118.48,1030784
zg,Geopotential Height,6hr,6hrPlevPt,7070.09,19641
clt,Total Cloud Cover Percentage,mon,Amon,7064.07,976033
tnhusscpbl,Tendency of Specific Humidity Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,mon,CFmon,7034.34,4528
hurs,Near-Surface Relative Humidity,mon,Amon,7022.48,778276
rlus,Surface Upwelling Longwave Radiation,mon,Amon,6988.97,700029
uas,Eastward Near-Surface Wind,6hr,6hrPlev,6988.90,8291
sfcwind,Near-Surface Wind Speed,mon,Amon,6966.39,697446
ts,Surface Temperature,day,Eday,6935.82,21507
rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation,3hr,3hr,6915.72,5760
chlos,Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,day,Oday,6912.49,1715
vas,Northward Near-Surface Wind,3hr,3hr,6880.50,5041
wap,Omega (=dp/dt),3hrPt,E3hrPt,6803.35,668
co2,Mole Fraction of CO2,mon,Amon,6586.95,18017
cdnc,Cloud Liquid Droplet Number Concentration,mon,AERmon,6521.68,13635
huss,Near-Surface Specific Humidity,mon,Amon,6510.76,712828
tauu,Surface Downward Eastward Wind Stress,day,Eday,6492.40,19497
tntrs,Tendency of Air Temperature Due to Shortwave Radiative Heating,mon,AERmon,6469.42,3526
uas,Eastward Near-Surface Wind,mon,Amon,6463.85,637995
o2sat,Dissolved Oxygen Concentration at Saturation,mon,Omon,6455.04,4570
sithick,Sea Ice Thickness,day,SIday,6381.87,41795
tauv,Surface Downward Northward Wind Stress,day,Eday,6372.82,18391
huss,Near-Surface Specific Humidity,3hr,3hr,6347.69,4174
ps,Surface Air Pressure,mon,Amon,6298.80,614091
mrsos,Moisture in Upper Portion of Soil Column,3hrPt,3hr,6223.45,9366
expcalc,Downward Flux of Calcite,mon,Emon,6200.32,2081
vas,Northward Near-Surface Wind,mon,Amon,6154.00,594836
hus,Specific Humidity,3hr,E3hrPt,6130.07,1873
rlut,TOA Outgoing Longwave Radiation,3hr,E3hr,6097.89,6410
clisccp,ISCCP Cloud Area Percentage,day,CFday,6032.02,4641
osalttend,Tendency of Sea Water Salinity Expressed as Salt Content,mon,Emon,5961.51,818
ta,Air Temperature,subhrPt,CFsubhr,5960.44,1408
ta850,Air Temperature,day,Eday,5944.50,31091
tnhusc,Tendency of Specific Humidity Due to Convection,mon,CFmon,5913.51,5466
dms,Dimethyl Sulphide (DMS) Mole Fraction,mon,AERmon,5906.56,6382
osaltrmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Residual Mean Advection,mon,Emon,5844.48,780
dissicabio,Abiotic Dissolved Inorganic Carbon Concentration,mon,Omon,5816.79,2126
tntc,Tendency of Air Temperature Due to Convection,mon,CFmon,5792.16,5331
fgco2,Surface Downward Mass Flux of Carbon as CO2 [kgC m-2 s-1],mon,Omon,5783.23,84129
chldiaz,Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,mon,Omon,5733.00,3924
osaltpmdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Mesoscale Diffusion,mon,Emon,5730.81,795
phyn,Mole Concentration of Total Phytoplankton Expressed as Nitrogen in Sea Water,mon,Omon,5720.21,4520
tas,Near-Surface Air Temperature,6hrPt,6hrPlevPt,5715.16,28230
prw,Water Vapor Path,day,Eday,5711.54,13445
tauuo,Sea Water Surface Downward X Stress,mon,Omon,5707.52,125310
ua,Eastward Wind,mon,Emon,5688.54,24121
talknat,Natural Total Alkalinity,mon,Omon,5624.88,898
o3prod,O3 Production Rate,mon,AERmon,5587.04,6244
osaltdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Dianeutral Mixing,mon,Emon,5561.93,798
conccn,Aerosol Number Concentration,mon,Emon,5498.08,1578
tauvo,Sea Water Surface Downward Y Stress,mon,Omon,5483.16,119331
mlotst,Ocean Mixed Layer Thickness Defined by Sigma T,day,Eday,5353.64,1766
hus,Specific Humidity,mon,Emon,5317.26,18765
mrsol,Total Water Content of Soil Layer,mon,Emon,5271.77,146615
siv,Y-Component of Sea-Ice Velocity,day,SIday,5251.41,35118
siu,X-Component of Sea-Ice Velocity,day,SIday,5238.56,36043
no2,NO2 Volume Mixing Ratio,mon,AERmon,5222.42,6585
rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation,day,CFday,5178.47,11856
ta,Air Temperature,3hr,E3hrPt,5082.61,2481
dmso,Mole Concentration of Dimethyl Sulphide in Sea Water,mon,Omon,5060.86,992
hur,Relative Humidity,subhrPt,CFsubhr,5046.72,1182
mrro,Total Runoff,3hr,3hr,4989.32,10640
tslsi,Surface Temperature Where Land or Sea Ice,3hrPt,3hr,4928.11,5870
rsu4co2,Upwelling Shortwave Radiation 4XCO2 Atmosphere,mon,CFmon,4902.75,2686
rsdt,TOA Incident Shortwave Radiation,mon,Amon,4895.38,686525
clcalipso,CALIPSO Percentage Cloud Cover,day,CFday,4886.41,2130
o3loss,O3 Destruction Rate,mon,AERmon,4883.55,6316
mc,Convective Mass Flux,subhrPt,Esubhr,4842.82,1304
no,NO Volume Mixing Ratio,mon,AERmon,4823.04,5838
vas,Northward Near-Surface Wind,6hr,6hrPlev,4815.62,6400
zg,Geopotential Height,subhrPt,CFsubhr,4759.91,1144
psl,Sea Level Pressure,3hrPt,CF3hr,4740.25,2145
ua,Eastward Wind,subhrPt,CFsubhr,4687.22,1206
airmass,Vertically Integrated Mass Content of Air in Layer,mon,AERmon,4670.16,10304
va,Northward Wind,subhrPt,CFsubhr,4629.14,1144
ch4,Mole Fraction of CH4,mon,AERmon,4593.02,6929
lossch4,Monthly Loss of Atmospheric Methane,mon,AERmon,4579.77,6680
osaltpadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Eddy Advection,mon,Emon,4545.62,642
co,CO Volume Mixing Ratio,mon,AERmon,4533.42,6093
opottemppmdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,mon,Emon,4523.01,743
cls,Percentage Cover of Stratiform Cloud,mon,CFmon,4506.95,3448
snw,Surface Snow Amount,day,day,4504.22,78345
psl,Sea Level Pressure,6hr,6hrPlevPt,4439.05,14015
expp,Sinking Particulate Organic Phosphorus Flux,mon,Emon,4390.84,440
rlu4co2,Upwelling Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,4373.23,2669
tnhusa,Tendency of Specific Humidity Due to Advection,subhrPt,CFsubhr,4351.42,963
