variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
mrsfl,Frozen Water Content of Soil Layer,day,Eday,7926.76,8732
ps,Surface Air Pressure,mon,Amon,7863.52,1633948
tnhusscpbl,Tendency of Specific Humidity Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,mon,CFmon,7831.29,6274
ps,Surface Air Pressure,3hr,3hr,7778.73,10980
rlds,,day,day,7688.02,47509
co2,Mole Fraction of CO2,mon,Amon,7686.72,336797
uas,Eastward Near-Surface Wind,mon,Amon,7678.99,1335227
sfcwind,Near-Surface Wind Speed,mon,Amon,7633.00,1255749
ppdiat,Net Primary Organic Carbon Production by Diatoms,mon,Emon,7608.31,2357
rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation,3hr,3hr,7551.12,8705
ta,Air Temperature,6hr,6hrPlevPt,7390.57,27833
huss,Near-Surface Specific Humidity,mon,Amon,7351.24,1102526
chlos,Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,day,Oday,7233.17,2027
ts,Surface Temperature,day,Eday,7221.82,858038
sithick,Sea Ice Thickness,day,SIday,7201.74,1025427
vas,Northward Near-Surface Wind,mon,Amon,7194.01,1212023
wmo,,mon,Omon,7170.26,370777
cdnc,Cloud Liquid Droplet Number Concentration,mon,AERmon,7168.23,14704
zooc,,mon,Omon,7146.22,5941
hus,Specific Humidity,subhrPt,CFsubhr,7128.19,5143
sfo3,,1hr,AERhr,7115.08,3233
rlu4co2,Upwelling Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,7087.55,5933
ta,,day,Eday,6939.15,4940
tas,Near-Surface Air Temperature,6hrPt,6hrPlevPt,6915.08,33386
o2sat,Dissolved Oxygen Concentration at Saturation,mon,Omon,6886.55,4838
tntrs,Tendency of Air Temperature Due to Shortwave Radiative Heating,mon,AERmon,6876.83,5180
dms,Dimethyl Sulphide (DMS) Mole Fraction,mon,AERmon,6859.27,6946
tnhusc,Tendency of Specific Humidity Due to Convection,mon,CFmon,6755.93,60335
clisccp,ISCCP Cloud Area Percentage,day,CFday,6751.61,9355
rlus,,day,day,6728.62,47007
o3prod,O3 Production Rate,mon,AERmon,6713.53,6122
rldcs4co2,Downwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,6710.29,6322
fgco2,Surface Downward Mass Flux of Carbon as CO2 [kgC m-2 s-1],mon,Omon,6678.81,745326
hus,,day,Eday,6676.25,3249
expcalc,Downward Flux of Calcite,mon,Emon,6650.87,2248
tsl,,day,Eday,6634.89,5265
chldiaz,Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,mon,Omon,6552.72,5027
tntc,Tendency of Air Temperature Due to Convection,mon,CFmon,6535.89,7671
dissicabio,Abiotic Dissolved Inorganic Carbon Concentration,mon,Omon,6527.76,3434
tauuo,Sea Water Surface Downward X Stress,mon,Omon,6525.22,377138
po4,,mon,Omon,6522.04,16296
wap,Omega (=dp/dt),3hrPt,E3hrPt,6477.27,511
talknat,Natural Total Alkalinity,mon,Omon,6389.63,208496
osalttend,Tendency of Sea Water Salinity Expressed as Salt Content,mon,Emon,6384.92,910
zg,Geopotential Height,6hr,6hrPlevPt,6379.28,17989
rlut,TOA Outgoing Longwave Radiation,3hr,E3hr,6373.36,468101
phyn,Mole Concentration of Total Phytoplankton Expressed as Nitrogen in Sea Water,mon,Omon,6321.62,5125
osaltrmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Residual Mean Advection,mon,Emon,6316.10,895
tauvo,Sea Water Surface Downward Y Stress,mon,Omon,6292.32,398355
hursmin,,day,day,6153.31,35378
hus,Specific Humidity,3hr,E3hrPt,6130.08,1880
prw,Water Vapor Path,day,Eday,6122.52,15786
clcalipso,CALIPSO Percentage Cloud Cover,day,CFday,6118.22,2582
dissic,,mon,Omon,6107.90,76169
osaltpmdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Mesoscale Diffusion,mon,Emon,6094.06,881
mrsos,Moisture in Upper Portion of Soil Column,3hrPt,3hr,6092.13,9850
mrro,Total Runoff,3hr,3hr,6084.17,16364
mc,Convective Mass Flux,subhrPt,Esubhr,6076.40,1669
no3,,mon,Omon,6066.17,15482
lossch4,Monthly Loss of Atmospheric Methane,mon,AERmon,5978.37,5852
osaltdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Dianeutral Mixing,mon,Emon,5958.72,886
o3loss,O3 Destruction Rate,mon,AERmon,5871.33,6084
zg,Geopotential Height,subhrPt,CFsubhr,5817.12,31048
rsus,,day,day,5739.42,31314
no2,NO2 Volume Mixing Ratio,mon,AERmon,5721.82,10543
o2,Dissolved Oxygen Concentration,yr,Oyr,5598.48,2195341
siconc,,day,SIday,5520.72,20661
thkcello,,mon,Omon,5494.84,8483
rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation,day,CFday,5491.39,17752
ua,Eastward Wind,subhrPt,CFsubhr,5484.59,4564
sfcwind,,day,day,5463.12,323278
dmso,Mole Concentration of Dimethyl Sulphide in Sea Water,mon,Omon,5415.72,1381
rsdt,TOA Incident Shortwave Radiation,mon,Amon,5402.43,1034599
uas,Eastward Near-Surface Wind,6hr,6hrPlev,5399.75,7416
ta850,Air Temperature,day,Eday,5397.60,43610
va,Northward Wind,subhrPt,CFsubhr,5389.45,4562
snw,Surface Snow Amount,day,day,5370.57,262752
ua,Eastward Wind,mon,Emon,5310.62,80713
co,CO Volume Mixing Ratio,mon,AERmon,5289.72,8013
airmass,Vertically Integrated Mass Content of Air in Layer,mon,AERmon,5288.70,10835
siu,X-Component of Sea-Ice Velocity,day,SIday,5253.98,43353
siv,Y-Component of Sea-Ice Velocity,day,SIday,5241.91,35688
psl,,6hrPt,6hrPlevPt,5232.87,129970
masscello,,mon,Omon,5182.47,35192
rsu4co2,Upwelling Shortwave Radiation 4XCO2 Atmosphere,mon,CFmon,5177.26,3301
mrsol,Total Water Content of Soil Layer,mon,Emon,5174.52,1065892
no,NO Volume Mixing Ratio,mon,AERmon,5161.05,5365
hus,Specific Humidity,mon,Emon,5127.12,21860
ch4,Mole Fraction of CH4,mon,AERmon,5123.08,6807
ta,Air Temperature,3hr,E3hrPt,5085.46,2492
cfc11,Mole Concentration of CFC11 in Sea Water,mon,Omon,5064.14,13057
sos,,day,Oday,5061.84,10492
